datetime,ip,position,temperature-probe,temperature-usb,color
2025-05-21-10-27,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-10-27,10.9.1.71,157-002-004,5.68C,9.18C,black
2025-05-21-10-28,10.9.1.64,157-001-001,5.81C,7.12C,black
2025-05-21-10-28,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-10-28,10.9.1.66,157-001-003,5.93C,7.81C,black
2025-05-21-10-28,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-10-28,10.9.1.68,157-002-001,5.93C,8.50C,black
2025-05-21-10-28,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-10-28,10.9.1.71,157-002-004,5.68C,9.18C,black
2025-05-21-10-29,10.9.1.64,157-001-001,5.81C,7.12C,black
2025-05-21-10-29,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-10-29,10.9.1.66,157-001-003,5.93C,7.81C,black
2025-05-21-10-29,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-10-29,10.9.1.68,157-002-001,5.93C,8.50C,black
2025-05-21-10-29,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-10-29,10.9.1.71,157-002-004,5.68C,9.18C,black
2025-05-21-10-30,10.9.1.64,157-001-001,5.81C,7.12C,orange
2025-05-21-10-30,10.9.1.65,157-001-002,6.25C,7.81C,orange
2025-05-21-10-30,10.9.1.66,157-001-003,5.93C,7.81C,orange
2025-05-21-10-30,10.9.1.67,157-001-004,6.25C,8.62C,orange
2025-05-21-10-30,10.9.1.68,157-002-001,5.93C,8.43C,orange
2025-05-21-10-30,10.9.1.70,157-002-003,5.93C,7.81C,orange
2025-05-21-10-30,10.9.1.71,157-002-004,5.62C,9.18C,orange
2025-05-21-10-31,10.9.1.64,157-001-001,6.43C,7.37C,orange
2025-05-21-10-31,10.9.1.65,157-001-002,6.87C,7.81C,orange
2025-05-21-10-31,10.9.1.66,157-001-003,6.50C,7.81C,orange
2025-05-21-10-31,10.9.1.67,157-001-004,6.75C,8.93C,orange
2025-05-21-10-31,10.9.1.68,157-002-001,6.75C,8.81C,orange
2025-05-21-10-31,10.9.1.70,157-002-003,6.50C,8.06C,orange
2025-05-21-10-31,10.9.1.71,157-002-004,6.75C,9.50C,orange
2025-05-21-10-32,10.9.1.64,157-001-001,7.00C,7.68C,orange
2025-05-21-10-32,10.9.1.65,157-001-002,7.56C,8.25C,orange
2025-05-21-10-32,10.9.1.66,157-001-003,7.12C,8.37C,orange
2025-05-21-10-32,10.9.1.67,157-001-004,7.31C,9.37C,orange
2025-05-21-10-32,10.9.1.68,157-002-001,7.50C,9.25C,orange
2025-05-21-10-32,10.9.1.70,157-002-003,7.50C,8.37C,orange
2025-05-21-10-32,10.9.1.71,157-002-004,7.75C,10.12C,orange
2025-05-21-10-33,10.9.1.64,157-001-001,7.68C,8.06C,orange
2025-05-21-10-33,10.9.1.65,157-001-002,8.68C,8.62C,orange
2025-05-21-10-33,10.9.1.66,157-001-003,7.81C,8.93C,orange
2025-05-21-10-33,10.9.1.67,157-001-004,8.37C,9.87C,orange
2025-05-21-10-33,10.9.1.68,157-002-001,8.18C,9.75C,orange
2025-05-21-10-33,10.9.1.70,157-002-003,8.18C,9.00C,orange
2025-05-21-10-33,10.9.1.71,157-002-004,8.56C,10.68C,orange
2025-05-21-10-34,10.9.1.64,157-001-001,8.93C,8.68C,orange
2025-05-21-10-34,10.9.1.65,157-001-002,10.12C,9.25C,orange
2025-05-21-10-34,10.9.1.66,157-001-003,9.31C,9.62C,orange
2025-05-21-10-34,10.9.1.67,157-001-004,9.62C,10.50C,orange
2025-05-21-10-34,10.9.1.68,157-002-001,8.81C,10.37C,orange
2025-05-21-10-34,10.9.1.70,157-002-003,9.06C,9.50C,orange
2025-05-21-10-34,10.9.1.71,157-002-004,9.87C,11.18C,orange
2025-05-21-10-35,10.9.1.64,157-001-001,10.12C,9.37C,orange
2025-05-21-10-35,10.9.1.65,157-001-002,11.18C,9.87C,orange
2025-05-21-10-35,10.9.1.66,157-001-003,10.37C,10.37C,orange
2025-05-21-10-35,10.9.1.67,157-001-004,10.56C,11.12C,orange
2025-05-21-10-35,10.9.1.68,157-002-001,10.06C,11.06C,orange
2025-05-21-10-35,10.9.1.70,157-002-003,10.12C,10.31C,orange
2025-05-21-10-35,10.9.1.71,157-002-004,10.93C,11.93C,orange
2025-05-21-10-36,10.9.1.64,157-001-001,10.93C,10.18C,orange
2025-05-21-10-36,10.9.1.65,157-001-002,11.93C,10.62C,orange
2025-05-21-10-36,10.9.1.66,157-001-003,11.18C,11.06C,orange
2025-05-21-10-36,10.9.1.67,157-001-004,11.62C,11.75C,orange
2025-05-21-10-36,10.9.1.68,157-002-001,10.62C,11.56C,orange
2025-05-21-10-36,10.9.1.70,157-002-003,10.62C,10.93C,orange
2025-05-21-10-36,10.9.1.71,157-002-004,11.75C,12.56C,orange
2025-05-21-10-37,10.9.1.64,157-001-001,11.37C,10.93C,orange
2025-05-21-10-37,10.9.1.65,157-001-002,13.06C,11.31C,orange
2025-05-21-10-37,10.9.1.66,157-001-003,11.87C,11.81C,orange
2025-05-21-10-37,10.9.1.67,157-001-004,12.43C,12.50C,orange
2025-05-21-10-37,10.9.1.68,157-002-001,11.37C,12.31C,orange
2025-05-21-10-37,10.9.1.70,157-002-003,11.56C,11.68C,orange
2025-05-21-10-37,10.9.1.71,157-002-004,12.25C,13.25C,orange
2025-05-21-10-38,10.9.1.64,157-001-001,11.87C,11.43C,orange
2025-05-21-10-38,10.9.1.65,157-001-002,13.56C,11.93C,orange
2025-05-21-10-38,10.9.1.66,157-001-003,12.18C,12.18C,orange
2025-05-21-10-38,10.9.1.67,157-001-004,12.93C,13.12C,orange
2025-05-21-10-38,10.9.1.68,157-002-001,11.75C,12.93C,orange
2025-05-21-10-38,10.9.1.70,157-002-003,12.00C,12.31C,orange
2025-05-21-10-38,10.9.1.71,157-002-004,12.81C,13.56C,orange
2025-05-21-10-39,10.9.1.64,157-001-001,12.18C,12.00C,orange
2025-05-21-10-39,10.9.1.65,157-001-002,13.75C,12.18C,orange
2025-05-21-10-39,10.9.1.66,157-001-003,12.37C,13.00C,orange
2025-05-21-10-39,10.9.1.67,157-001-004,13.18C,13.68C,orange
2025-05-21-10-39,10.9.1.68,157-002-001,12.18C,13.37C,orange
2025-05-21-10-39,10.9.1.70,157-002-003,12.43C,12.68C,orange
2025-05-21-10-39,10.9.1.71,157-002-004,12.81C,14.18C,orange
2025-05-21-10-40,10.9.1.64,157-001-001,12.50C,12.43C,orange
2025-05-21-10-40,10.9.1.65,157-001-002,13.87C,12.93C,orange
2025-05-21-10-40,10.9.1.66,157-001-003,13.00C,13.43C,orange
2025-05-21-10-40,10.9.1.67,157-001-004,13.75C,14.25C,orange
2025-05-21-10-40,10.9.1.68,157-002-001,12.56C,13.81C,orange
2025-05-21-10-40,10.9.1.70,157-002-003,12.93C,13.43C,orange
2025-05-21-10-40,10.9.1.71,157-002-004,13.18C,14.68C,orange
2025-05-21-10-41,10.9.1.64,157-001-001,12.50C,12.81C,cyan
2025-05-21-10-41,10.9.1.65,157-001-002,13.43C,13.31C,cyan
2025-05-21-10-41,10.9.1.66,157-001-003,12.93C,13.87C,cyan
2025-05-21-10-41,10.9.1.67,157-001-004,13.75C,14.31C,cyan
2025-05-21-10-41,10.9.1.68,157-002-001,12.25C,14.06C,cyan
2025-05-21-10-41,10.9.1.70,157-002-003,12.56C,13.68C,cyan
2025-05-21-10-41,10.9.1.71,157-002-004,12.81C,14.93C,cyan
2025-05-21-10-42,10.9.1.64,157-001-001,11.37C,12.75C,cyan
2025-05-21-10-42,10.9.1.65,157-001-002,11.75C,13.25C,cyan
2025-05-21-10-42,10.9.1.66,157-001-003,11.75C,13.75C,cyan
2025-05-21-10-42,10.9.1.67,157-001-004,12.93C,14.31C,cyan
2025-05-21-10-42,10.9.1.68,157-002-001,11.37C,14.06C,cyan
2025-05-21-10-42,10.9.1.70,157-002-003,10.87C,13.56C,cyan
2025-05-21-10-42,10.9.1.71,157-002-004,11.56C,14.87C,cyan
2025-05-21-10-43,10.9.1.64,157-001-001,10.56C,12.50C,cyan
2025-05-21-10-43,10.9.1.65,157-001-002,10.50C,12.93C,cyan
2025-05-21-10-43,10.9.1.66,157-001-003,10.75C,13.31C,cyan
2025-05-21-10-43,10.9.1.67,157-001-004,11.68C,14.31C,cyan
2025-05-21-10-43,10.9.1.68,157-002-001,10.62C,13.75C,cyan
2025-05-21-10-43,10.9.1.70,157-002-003,10.12C,13.18C,cyan
2025-05-21-10-43,10.9.1.71,157-002-004,10.25C,14.56C,cyan
2025-05-21-10-44,10.9.1.64,157-001-001,9.56C,12.12C,cyan
2025-05-21-10-44,10.9.1.65,157-001-002,9.37C,12.31C,cyan
2025-05-21-10-44,10.9.1.66,157-001-003,9.62C,12.68C,cyan
2025-05-21-10-44,10.9.1.67,157-001-004,10.56C,14.00C,cyan
2025-05-21-10-44,10.9.1.68,157-002-001,9.93C,13.31C,cyan
2025-05-21-10-44,10.9.1.70,157-002-003,9.18C,12.68C,cyan
2025-05-21-10-44,10.9.1.71,157-002-004,9.37C,14.18C,cyan
2025-05-21-10-45,10.9.1.64,157-001-001,9.00C,11.62C,cyan
2025-05-21-10-45,10.9.1.65,157-001-002,8.62C,12.06C,cyan
2025-05-21-10-45,10.9.1.66,157-001-003,8.93C,12.12C,cyan
2025-05-21-10-45,10.9.1.67,157-001-004,9.81C,13.43C,cyan
2025-05-21-10-45,10.9.1.68,157-002-001,9.18C,12.81C,cyan
2025-05-21-10-45,10.9.1.70,157-002-003,8.68C,12.06C,cyan
2025-05-21-10-45,10.9.1.71,157-002-004,8.43C,13.56C,cyan
2025-05-21-10-46,10.9.1.64,157-001-001,8.25C,11.00C,cyan
2025-05-21-10-46,10.9.1.65,157-001-002,7.56C,11.50C,cyan
2025-05-21-10-46,10.9.1.66,157-001-003,7.81C,11.43C,cyan
2025-05-21-10-46,10.9.1.67,157-001-004,8.87C,12.87C,cyan
2025-05-21-10-46,10.9.1.68,157-002-001,8.68C,12.37C,cyan
2025-05-21-10-46,10.9.1.70,157-002-003,7.81C,11.50C,cyan
2025-05-21-10-46,10.9.1.71,157-002-004,7.81C,13.31C,cyan
2025-05-21-10-47,10.9.1.64,157-001-001,7.25C,10.43C,cyan
2025-05-21-10-47,10.9.1.65,157-001-002,6.56C,10.93C,cyan
2025-05-21-10-47,10.9.1.66,157-001-003,7.12C,10.75C,cyan
2025-05-21-10-47,10.9.1.67,157-001-004,7.93C,12.31C,cyan
2025-05-21-10-47,10.9.1.68,157-002-001,7.50C,11.56C,cyan
2025-05-21-10-47,10.9.1.70,157-002-003,6.81C,10.93C,cyan
2025-05-21-10-47,10.9.1.71,157-002-004,7.00C,12.81C,cyan
2025-05-21-10-48,10.9.1.64,157-001-001,6.25C,9.75C,cyan
2025-05-21-10-48,10.9.1.65,157-001-002,5.62C,10.37C,cyan
2025-05-21-10-48,10.9.1.66,157-001-003,5.93C,9.93C,cyan
2025-05-21-10-48,10.9.1.67,157-001-004,7.06C,11.75C,cyan
2025-05-21-10-48,10.9.1.68,157-002-001,6.81C,11.00C,cyan
2025-05-21-10-48,10.9.1.70,157-002-003,5.93C,10.18C,cyan
2025-05-21-10-48,10.9.1.71,157-002-004,6.12C,12.18C,cyan
2025-05-21-10-49,10.9.1.64,157-001-001,5.25C,9.00C,cyan
2025-05-21-10-49,10.9.1.65,157-001-002,4.56C,9.62C,cyan
2025-05-21-10-49,10.9.1.66,157-001-003,5.00C,9.12C,cyan
2025-05-21-10-49,10.9.1.67,157-001-004,6.25C,11.00C,cyan
2025-05-21-10-49,10.9.1.68,157-002-001,6.00C,10.25C,cyan
2025-05-21-10-49,10.9.1.70,157-002-003,5.06C,9.50C,cyan
2025-05-21-10-49,10.9.1.71,157-002-004,5.31C,11.75C,cyan
2025-05-21-10-50,10.9.1.64,157-001-001,4.43C,8.18C,cyan
2025-05-21-10-50,10.9.1.65,157-001-002,3.81C,9.00C,cyan
2025-05-21-10-50,10.9.1.66,157-001-003,4.06C,8.37C,cyan
2025-05-21-10-50,10.9.1.67,157-001-004,5.43C,10.25C,cyan
2025-05-21-10-50,10.9.1.68,157-002-001,5.25C,9.62C,cyan
2025-05-21-10-50,10.9.1.70,157-002-003,4.56C,8.68C,cyan
2025-05-21-10-50,10.9.1.71,157-002-004,4.56C,11.00C,cyan
2025-05-21-10-51,10.9.1.64,157-001-001,3.75C,7.50C,cyan
2025-05-21-10-51,10.9.1.65,157-001-002,3.06C,8.37C,cyan
2025-05-21-10-51,10.9.1.66,157-001-003,3.37C,7.68C,cyan
2025-05-21-10-51,10.9.1.67,157-001-004,4.50C,9.62C,cyan
2025-05-21-10-51,10.9.1.68,157-002-001,4.56C,8.93C,cyan
2025-05-21-10-51,10.9.1.70,157-002-003,3.68C,8.06C,cyan
2025-05-21-10-51,10.9.1.71,157-002-004,3.68C,10.56C,cyan
2025-05-21-10-52,10.9.1.64,157-001-001,3.12C,6.87C,cyan
2025-05-21-10-52,10.9.1.65,157-001-002,2.43C,7.68C,cyan
2025-05-21-10-52,10.9.1.66,157-001-003,2.68C,6.87C,cyan
2025-05-21-10-52,10.9.1.67,157-001-004,3.81C,8.93C,cyan
2025-05-21-10-52,10.9.1.68,157-002-001,3.93C,8.25C,cyan
2025-05-21-10-52,10.9.1.70,157-002-003,3.12C,7.37C,cyan
2025-05-21-10-52,10.9.1.71,157-002-004,3.25C,10.00C,cyan
2025-05-21-10-53,10.9.1.64,157-001-001,2.56C,6.06C,cyan
2025-05-21-10-53,10.9.1.65,157-001-002,2.12C,7.12C,cyan
2025-05-21-10-53,10.9.1.66,157-001-003,2.37C,6.31C,cyan
2025-05-21-10-53,10.9.1.67,157-001-004,3.43C,8.31C,cyan
2025-05-21-10-53,10.9.1.68,157-002-001,3.43C,7.62C,cyan
2025-05-21-10-53,10.9.1.70,157-002-003,2.68C,6.56C,cyan
2025-05-21-10-53,10.9.1.71,157-002-004,2.93C,9.43C,cyan
2025-05-21-10-54,10.9.1.64,157-001-001,2.31C,5.62C,cyan
2025-05-21-10-54,10.9.1.65,157-001-002,1.93C,6.50C,cyan
2025-05-21-10-54,10.9.1.66,157-001-003,2.12C,5.81C,cyan
2025-05-21-10-54,10.9.1.67,157-001-004,3.12C,7.75C,cyan
2025-05-21-10-54,10.9.1.68,157-002-001,3.06C,7.06C,cyan
2025-05-21-10-54,10.9.1.70,157-002-003,2.37C,6.31C,cyan
